Comment,Designator,Footprint,LCSC,Quantity
SW_Push,KEY4,SW_MX_HotSwap_PTH,,1
MX_stab,S41,STAB_MX_P_2.25u,,1
SW_Push,KEY16,SW_MX_HotSwap_PTH,,1
SW_Push,KEY47,SW_MX_HotSwap_PTH,,1
SW_Push,KEY45,SW_MX_HotSwap_PTH,,1
SW_Push,KEY48,SW_MX_HotSwap_PTH,,1
SW_Push,KEY59,SW_MX_HotSwap_PTH,,1
SW_Push,KEY21,SW_MX_HotSwap_PTH,,1
SW_Push,KEY58,SW_MX_HotSwap_PTH,,1
SW_Push,KEY32,SW_MX_HotSwap_PTH,,1
SW_Push,KEY6,SW_MX_HotSwap_PTH,,1
SW_Push,KEY53,SW_MX_HotSwap_PTH,,1
SW_Push,KEY26,SW_MX_HotSwap_PTH,,1
SW_Push,KEY15,SW_MX_HotSwap_PTH,,1
SW_Push,KEY55,SW_MX_HotSwap_PTH,,1
SW_Push,KEY29,SW_MX_HotSwap_PTH,,1
SW_Push,KEY46,SW_MX_HotSwap_PTH,,1
SW_Push,KEY35,SW_MX_HotSwap_PTH,,1
SW_Push,KEY31,SW_MX_HotSwap_PTH,,1
SW_Push,KEY19,SW_MX_HotSwap_PTH,,1
SW_Push,KEY8,SW_MX_HotSwap_PTH,,1
SW_Push,KEY37,SW_MX_HotSwap_PTH,,1
MX_stab,S57,STAB_MX_P_6.25u,,1
SW_Push,KEY54,SW_MX_HotSwap_PTH,,1
SW_Push,KEY23,SW_MX_HotSwap_PTH,,1
SW_Push,KEY17,SW_MX_HotSwap_PTH,,1
SW_Push,KEY7,SW_MX_HotSwap_PTH,,1
SW_Push,KEY11,SW_MX_HotSwap_PTH,,1
SW_Push,KEY60,SW_MX_HotSwap_PTH,,1
SW_Push,KEY51,SW_MX_HotSwap_PTH,,1
SW_Push,KEY25,SW_MX_HotSwap_PTH,,1
SW_Push,KEY9,SW_MX_HotSwap_PTH,,1
MX_stab,S42,STAB_MX_P_2.25u,,1
SW_Push,KEY30,SW_MX_HotSwap_PTH,,1
SW_Push,KEY42,SW_MX_HotSwap_PTH,,1
SW_Push,KEY22,SW_MX_HotSwap_PTH,,1
MX_stab,S53,STAB_MX_P_2.75u,,1
SW_Push,KEY27,SW_MX_HotSwap_PTH,,1
SW_Push,KEY33,SW_MX_HotSwap_PTH,,1
SW_Push,KEY14,SW_MX_HotSwap_PTH,,1
SW_Push,KEY41,SW_MX_HotSwap_PTH,,1
SW_Push,KEY28,SW_MX_HotSwap_PTH,,1
SW_Push,KEY18,SW_MX_HotSwap_PTH,,1
SW_Push,KEY57,SW_MX_HotSwap_PTH,,1
SW_Push,KEY61,SW_MX_HotSwap_PTH,,1
SW_Push,KEY40,SW_MX_HotSwap_PTH,,1
SW_Push,KEY5,SW_MX_HotSwap_PTH,,1
MX_stab,S14,STAB_MX_P_2u,,1
SW_Push,KEY3,SW_MX_HotSwap_PTH,,1
SW_Push,KEY52,SW_MX_HotSwap_PTH,,1
SW_Push,KEY56,SW_MX_HotSwap_PTH,,1
SW_Push,KEY20,SW_MX_HotSwap_PTH,,1
SW_Push,KEY12,SW_MX_HotSwap_PTH,,1
SW_Push,KEY39,SW_MX_HotSwap_PTH,,1
SW_Push,KEY1,SW_MX_HotSwap_PTH,,1
